carrinho_pequeno: .word 12, 16
.byte 
199,199,199,199,199,199,199,199,199,199,199,199,
199,199,199,199,255,255,255,255,199,199,199,199,
199,199,199,255,13,14,14,13,255,199,199,199,
199,199,255,13,14,14,14,14,13,255,199,199,
199,199,255,14,14,0,0,14,14,255,199,199,
199,199,255,14,0,0,0,0,14,255,199,199,
199,199,255,13,0,0,0,0,13,255,199,199,
199,199,199,255,14,14,14,14,255,199,199,199,
199,199,199,255,14,14,14,14,255,199,199,199,
199,199,199,255,14,14,14,14,255,199,199,199,
199,199,199,255,0,0,0,0,255,199,199,199,
199,199,255,13,0,0,0,0,13,255,199,199,
199,199,255,14,14,14,14,14,14,255,199,199,
199,199,255,14,14,14,14,14,14,255,199,199,
199,199,255,255,255,255,255,255,255,255,199,199,
199,199,255,0,0,0,0,0,0,255,199,199,

